User Id,Timestamp,Key,Mapped to,Event Type
005,2024-10-08 09:14:08,user_id,005,mapping
005,2024-10-08 09:14:08,input_1,playpause,mapping
005,2024-10-08 09:14:08,input_2,nexttrack,mapping
005,2024-10-08 09:14:08,input_3,Enter,mapping
005,2024-10-08 09:32:29,Key.f22,playpause,down
005,2024-10-08 09:32:29,Key.f22,playpause,up
005,2024-10-08 10:14:04,key_count,upload_csv_files,2119
005,2024-10-08 10:14:04,success,upload_csv_file,005_20241008_091404_key_events_20241008_101404.csv
005,2024-10-08 10:46:02,Key.f22,playpause,down
005,2024-10-08 10:46:02,Key.f22,playpause,up
005,2024-10-08 10:47:18,Key.f24,Enter,down
005,2024-10-08 10:47:18,Key.f24,Enter,up
005,2024-10-08 10:50:30,Key.f24,Enter,down
005,2024-10-08 10:50:30,Key.f24,Enter,up
005,2024-10-08 10:50:36,Key.f23,nexttrack,down
005,2024-10-08 10:50:36,Key.f23,nexttrack,up
005,2024-10-08 10:50:38,Key.f23,nexttrack,down
005,2024-10-08 10:50:38,Key.f23,nexttrack,up
005,2024-10-08 10:51:54,Key.f22,playpause,down
005,2024-10-08 10:51:54,Key.f22,playpause,up
005,2024-10-08 10:52:06,Key.f22,playpause,down
005,2024-10-08 10:52:06,Key.f22,playpause,up
005,2024-10-08 11:05:13,Key.f22,playpause,down
005,2024-10-08 11:05:13,Key.f22,playpause,up
005,2024-10-08 11:07:42,Key.f22,playpause,down
005,2024-10-08 11:07:42,Key.f22,playpause,up
005,2024-10-08 11:14:04,key_count,upload_csv_files,925
005,2024-10-08 11:14:04,success,upload_csv_file,005_20241008_091404_key_events_20241008_111404.csv
005,2024-10-08 11:47:06,Key.f24,Enter,down
005,2024-10-08 11:47:06,Key.f24,Enter,up
005,2024-10-08 12:14:04,key_count,upload_csv_files,2980
005,2024-10-08 12:14:04,success,upload_csv_file,005_20241008_091404_key_events_20241008_121404.csv
005,2024-10-08 13:13:25,Key.f22,playpause,down
005,2024-10-08 13:13:25,Key.f22,playpause,up
005,2024-10-08 13:14:05,key_count,upload_csv_files,15
005,2024-10-08 13:14:05,success,upload_csv_file,005_20241008_091404_key_events_20241008_131404.csv
005,2024-10-08 13:14:10,Key.f22,playpause,down
005,2024-10-08 13:14:10,Key.f22,playpause,up
005,2024-10-08 14:04:47,Key.f22,playpause,down
005,2024-10-08 14:04:48,Key.f22,playpause,up
005,2024-10-08 14:05:17,Key.f22,playpause,down
005,2024-10-08 14:05:17,Key.f22,playpause,up
005,2024-10-08 14:14:05,key_count,upload_csv_files,2748
005,2024-10-08 14:14:05,success,upload_csv_file,005_20241008_091404_key_events_20241008_141405.csv
005,2024-10-08 14:48:24,Key.f22,playpause,down
005,2024-10-08 14:48:24,Key.f22,playpause,up
005,2024-10-08 14:48:26,Key.f22,playpause,down
005,2024-10-08 14:48:26,Key.f22,playpause,up
005,2024-10-08 14:48:27,Key.f22,playpause,down
005,2024-10-08 14:48:27,Key.f22,playpause,up
005,2024-10-08 14:48:30,Key.f22,playpause,down
005,2024-10-08 14:48:30,Key.f22,playpause,up
005,2024-10-08 14:48:35,Key.f22,playpause,down
005,2024-10-08 14:48:36,Key.f22,playpause,up
005,2024-10-08 14:48:37,Key.f23,nexttrack,down
005,2024-10-08 14:48:37,Key.f23,nexttrack,up
005,2024-10-08 14:48:39,Key.f23,nexttrack,down
005,2024-10-08 14:48:39,Key.f23,nexttrack,up
005,2024-10-08 14:48:44,Key.f23,nexttrack,down
005,2024-10-08 14:48:44,Key.f23,nexttrack,up
005,2024-10-08 14:48:49,Key.f23,nexttrack,down
005,2024-10-08 14:48:49,Key.f23,nexttrack,up
005,2024-10-08 14:48:52,Key.f22,playpause,down
005,2024-10-08 14:48:52,Key.f22,playpause,up
005,2024-10-08 14:48:54,Key.f22,playpause,down
005,2024-10-08 14:48:55,Key.f22,playpause,up
005,2024-10-08 15:14:05,key_count,upload_csv_files,25
005,2024-10-08 15:14:05,success,upload_csv_file,005_20241008_091404_key_events_20241008_151405.csv
005,2024-10-08 15:29:22,Key.f22,playpause,down
005,2024-10-08 15:29:22,Key.f22,playpause,up
005,2024-10-08 15:29:23,Key.f22,playpause,down
005,2024-10-08 15:29:23,Key.f22,playpause,up
005,2024-10-08 15:52:37,Key.f22,playpause,down
005,2024-10-08 15:52:37,Key.f22,playpause,up
005,2024-10-08 15:52:43,Key.f23,nexttrack,down
005,2024-10-08 15:52:43,Key.f23,nexttrack,up
005,2024-10-08 15:58:35,Key.f23,nexttrack,down
005,2024-10-08 15:58:35,Key.f23,nexttrack,up
005,2024-10-08 15:59:26,Key.f24,Enter,down
005,2024-10-08 15:59:26,Key.f24,Enter,up
005,2024-10-08 15:59:31,Key.f24,Enter,down
005,2024-10-08 15:59:31,Key.f24,Enter,up
005,2024-10-08 15:59:39,Key.f24,Enter,down
005,2024-10-08 15:59:39,Key.f24,Enter,up
005,2024-10-08 16:02:34,Key.f23,nexttrack,down
005,2024-10-08 16:02:34,Key.f23,nexttrack,up
005,2024-10-08 16:05:59,Key.f23,nexttrack,down
005,2024-10-08 16:05:59,Key.f23,nexttrack,up
005,2024-10-08 16:06:54,Key.f23,nexttrack,down
005,2024-10-08 16:06:55,Key.f23,nexttrack,up
005,2024-10-08 16:10:10,Key.f23,nexttrack,down
005,2024-10-08 16:10:10,Key.f23,nexttrack,up
005,2024-10-08 16:11:02,Key.f24,Enter,down
005,2024-10-08 16:11:02,Key.f24,Enter,up
005,2024-10-08 16:11:50,Key.f23,nexttrack,down
005,2024-10-08 16:11:50,Key.f23,nexttrack,up
005,2024-10-08 16:14:05,key_count,upload_csv_files,681
005,2024-10-08 16:14:05,success,upload_csv_file,005_20241008_091404_key_events_20241008_161405.csv
005,2024-10-08 16:17:37,Key.f23,nexttrack,down
005,2024-10-08 16:17:37,Key.f23,nexttrack,up
005,2024-10-08 16:19:05,Key.f23,nexttrack,down
005,2024-10-08 16:19:05,Key.f23,nexttrack,up
005,2024-10-08 16:21:24,Key.f23,nexttrack,down
005,2024-10-08 16:21:24,Key.f23,nexttrack,up
005,2024-10-08 16:25:47,Key.f23,nexttrack,down
005,2024-10-08 16:25:47,Key.f23,nexttrack,up
005,2024-10-08 16:26:07,Key.f23,nexttrack,down
005,2024-10-08 16:26:07,Key.f23,nexttrack,up
005,2024-10-08 16:26:23,Key.f23,nexttrack,down
005,2024-10-08 16:26:23,Key.f23,nexttrack,up
005,2024-10-08 16:26:24,Key.f23,nexttrack,down
005,2024-10-08 16:26:24,Key.f23,nexttrack,up
005,2024-10-08 16:26:28,Key.f23,nexttrack,down
005,2024-10-08 16:26:28,Key.f23,nexttrack,up
005,2024-10-08 16:29:56,Key.f23,nexttrack,down
005,2024-10-08 16:29:56,Key.f23,nexttrack,up
005,2024-10-08 16:29:59,Key.f23,nexttrack,down
005,2024-10-08 16:29:59,Key.f23,nexttrack,up
005,2024-10-08 16:30:21,Key.f23,nexttrack,down
005,2024-10-08 16:30:21,Key.f23,nexttrack,up
005,2024-10-08 16:30:49,Key.f23,nexttrack,down
005,2024-10-08 16:30:49,Key.f23,nexttrack,up
005,2024-10-08 16:37:28,Key.f22,playpause,down
005,2024-10-08 16:37:28,Key.f22,playpause,up
005,2024-10-08 17:20:29,Key.f22,playpause,down
005,2024-10-08 17:20:29,Key.f22,playpause,up
005,2024-10-08 17:20:52,Key.f24,Enter,down
005,2024-10-08 17:20:52,Key.f24,Enter,up
005,2024-10-08 17:20:57,Key.f24,Enter,down
005,2024-10-08 17:20:57,Key.f24,Enter,up
005,2024-10-08 17:21:01,Key.f24,Enter,down
005,2024-10-08 17:21:01,Key.f24,Enter,up
005,2024-10-08 17:21:06,Key.f24,Enter,down
005,2024-10-08 17:21:06,Key.f24,Enter,up
005,2024-10-08 17:21:13,Key.f24,Enter,down
005,2024-10-08 17:21:13,Key.f24,Enter,up
005,2024-10-08 17:21:18,Key.f24,Enter,down
005,2024-10-08 17:21:18,Key.f24,Enter,up
005,2024-10-08 17:21:21,Key.f24,Enter,down
005,2024-10-08 17:21:21,Key.f24,Enter,up
005,2024-10-08 17:21:26,Key.f24,Enter,down
005,2024-10-08 17:21:26,Key.f24,Enter,up
005,2024-10-08 17:27:23,Key.f23,nexttrack,down
005,2024-10-08 17:27:23,Key.f23,nexttrack,up
005,2024-10-08 17:27:26,Key.f23,nexttrack,down
005,2024-10-08 17:27:26,Key.f23,nexttrack,up
005,2024-10-08 17:31:42,Key.f23,nexttrack,down
005,2024-10-08 17:31:42,Key.f23,nexttrack,up
005,2024-10-08 17:32:06,Key.f23,nexttrack,down
005,2024-10-08 17:32:06,Key.f23,nexttrack,up
005,2024-10-08 17:34:22,Key.f23,nexttrack,down
005,2024-10-08 17:34:22,Key.f23,nexttrack,up
