User Id,Timestamp,Key,Mapped to,Event Type
012,2024-10-21 10:38:31,user_id,012,mapping
012,2024-10-21 10:38:31,input_1,,mapping
012,2024-10-21 10:38:31,input_2,,mapping
012,2024-10-21 10:38:31,input_3,,mapping
012,2024-10-21 10:39:46,user_id,012,mapping
012,2024-10-21 10:39:46,input_1,Ctrl+c,mapping
012,2024-10-21 10:39:46,input_2,,mapping
012,2024-10-21 10:39:46,input_3,,mapping
012,2024-10-21 10:56:54,user_id,012,mapping
012,2024-10-21 10:56:54,input_1,Ctrl+c,mapping
012,2024-10-21 10:56:54,input_2,,mapping
012,2024-10-21 10:56:54,input_3,Shift+backspace,mapping
012,2024-10-21 10:57:12,user_id,012,mapping
012,2024-10-21 10:57:12,input_1,Ctrl+c,mapping
012,2024-10-21 10:57:12,input_2,Ctrl+v,mapping
012,2024-10-21 10:57:12,input_3,Shift+backspace,mapping
012,2024-10-21 11:16:55,Key.f24,Shift+backspace,down
012,2024-10-21 11:16:56,Key.f24,Shift+backspace,up
012,2024-10-21 11:17:08,Key.f24,Shift+backspace,down
012,2024-10-21 11:17:08,Key.f24,Shift+backspace,up
012,2024-10-21 11:19:58,Key.f24,Shift+backspace,down
012,2024-10-21 11:19:58,Key.f24,Shift+backspace,up
012,2024-10-21 11:20:12,Key.f24,Shift+backspace,down
012,2024-10-21 11:20:12,Key.f24,Shift+backspace,up
012,2024-10-21 11:20:32,Key.f24,Shift+backspace,down
012,2024-10-21 11:20:32,Key.f24,Shift+backspace,up
012,2024-10-21 11:20:48,user_id,012,mapping
012,2024-10-21 11:20:48,input_1,r,mapping
012,2024-10-21 11:20:48,input_2,Ctrl+v,mapping
012,2024-10-21 11:20:48,input_3,Shift+backspace,mapping
012,2024-10-21 11:20:52,Key.f22,r,down
012,2024-10-21 11:20:52,Key.f22,r,up
012,2024-10-21 11:21:02,Key.f22,r,down
012,2024-10-21 11:21:02,Key.f22,r,up
012,2024-10-21 11:21:07,Key.f24,Shift+backspace,down
012,2024-10-21 11:21:07,Key.f24,Shift+backspace,up
012,2024-10-21 11:21:11,Key.f24,Shift+backspace,down
012,2024-10-21 11:21:11,Key.f24,Shift+backspace,up
012,2024-10-21 11:21:24,Key.f22,r,down
012,2024-10-21 11:21:24,Key.f22,r,up
012,2024-10-21 11:21:29,Key.f24,Shift+backspace,down
012,2024-10-21 11:21:29,Key.f24,Shift+backspace,up
012,2024-10-21 11:21:59,Key.f22,r,down
012,2024-10-21 11:21:59,Key.f22,r,up
012,2024-10-21 11:22:04,Key.f24,Shift+backspace,down
012,2024-10-21 11:22:04,Key.f24,Shift+backspace,up
012,2024-10-21 11:22:20,Key.f22,r,down
012,2024-10-21 11:22:20,Key.f22,r,up
012,2024-10-21 11:22:25,Key.f24,Shift+backspace,down
012,2024-10-21 11:22:25,Key.f24,Shift+backspace,up
012,2024-10-21 11:22:55,Key.f22,r,down
012,2024-10-21 11:22:56,Key.f22,r,up
012,2024-10-21 11:23:00,Key.f24,Shift+backspace,down
012,2024-10-21 11:23:00,Key.f24,Shift+backspace,up
012,2024-10-21 11:23:08,Key.f22,r,down
012,2024-10-21 11:23:08,Key.f22,r,up
012,2024-10-21 11:23:12,Key.f24,Shift+backspace,down
012,2024-10-21 11:23:12,Key.f24,Shift+backspace,up
012,2024-10-21 11:24:10,Key.f22,r,down
012,2024-10-21 11:24:10,Key.f22,r,up
012,2024-10-21 11:24:15,Key.f24,Shift+backspace,down
012,2024-10-21 11:24:15,Key.f24,Shift+backspace,up
012,2024-10-21 11:24:38,Key.f22,r,down
012,2024-10-21 11:24:38,Key.f22,r,up
012,2024-10-21 11:24:43,Key.f24,Shift+backspace,down
012,2024-10-21 11:24:43,Key.f24,Shift+backspace,up
012,2024-10-21 11:25:08,Key.f22,r,down
012,2024-10-21 11:25:08,Key.f22,r,up
012,2024-10-21 11:25:12,Key.f24,Shift+backspace,down
012,2024-10-21 11:25:12,Key.f24,Shift+backspace,up
012,2024-10-21 11:26:04,Key.f22,r,down
012,2024-10-21 11:26:04,Key.f22,r,up
012,2024-10-21 11:26:08,Key.f24,Shift+backspace,down
012,2024-10-21 11:26:08,Key.f24,Shift+backspace,up
012,2024-10-21 11:26:25,Key.f22,r,down
012,2024-10-21 11:26:25,Key.f22,r,up
012,2024-10-21 11:26:29,Key.f24,Shift+backspace,down
012,2024-10-21 11:26:29,Key.f24,Shift+backspace,up
012,2024-10-21 11:26:36,Key.f22,r,down
012,2024-10-21 11:26:36,Key.f22,r,up
012,2024-10-21 11:26:40,Key.f24,Shift+backspace,down
012,2024-10-21 11:26:40,Key.f24,Shift+backspace,up
012,2024-10-21 11:27:05,Key.f22,r,down
012,2024-10-21 11:27:05,Key.f22,r,up
012,2024-10-21 11:27:10,Key.f24,Shift+backspace,down
012,2024-10-21 11:27:10,Key.f24,Shift+backspace,up
012,2024-10-21 11:27:28,Key.f22,r,down
012,2024-10-21 11:27:28,Key.f22,r,up
012,2024-10-21 11:27:32,Key.f24,Shift+backspace,down
012,2024-10-21 11:27:32,Key.f24,Shift+backspace,up
012,2024-10-21 11:27:49,Key.f22,r,down
012,2024-10-21 11:27:49,Key.f22,r,up
012,2024-10-21 11:27:54,Key.f24,Shift+backspace,down
012,2024-10-21 11:27:54,Key.f24,Shift+backspace,up
012,2024-10-21 11:28:07,Key.f22,r,down
012,2024-10-21 11:28:07,Key.f22,r,up
012,2024-10-21 11:28:11,Key.f24,Shift+backspace,down
012,2024-10-21 11:28:11,Key.f24,Shift+backspace,up
012,2024-10-21 11:28:26,Key.f22,r,down
012,2024-10-21 11:28:26,Key.f22,r,up
012,2024-10-21 11:28:32,Key.f24,Shift+backspace,down
012,2024-10-21 11:28:32,Key.f24,Shift+backspace,up
012,2024-10-21 11:28:35,Key.f24,Shift+backspace,down
012,2024-10-21 11:28:35,Key.f24,Shift+backspace,up
