user_id,ueq_01,ueq_02,ueq_03,ueq_04,ueq_05,ueq_06,ueq_07,ueq_08,ueq_09,ueq_10,ueq_11,ueq_12,ueq_13,ueq_14,ueq_15,ueq_16,ueq_17,ueq_18,ueq_19,ueq_20,ueq_21,ueq_22,ueq_23,ueq_24,ueq_25,ueq_26
p_01,6,7,2,2,3,5,5,6,3,1,5,3,6,4,6,5,2,1,2,6,1,7,1,3,3,6
p_02,6,5,2,3,3,5,6,5,4,2,6,3,5,5,6,5,3,4,3,5,5,5,5,3,3,6
p_03,6,7,2,3,2,5,6,7,3,3,6,3,7,5,4,5,4,2,2,5,3,6,2,2,2,4
p_04,6,7,2,1,2,5,6,4,3,4,6,1,7,5,5,7,1,4,2,6,1,7,1,2,2,5
p_05,6,6,2,1,2,6,6,4,2,4,6,1,6,4,6,6,2,4,2,6,2,4,2,2,2,6
p_06,6,7,2,1,2,6,6,6,2,2,7,1,6,5,6,7,1,2,1,6,1,5,2,2,2,6
p_07,6,5,4,3,4,5,4,6,4,5,5,3,6,4,3,4,6,5,3,4,3,5,5,5,4,3
p_08,6,7,3,1,2,5,5,6,2,2,6,1,7,6,5,6,2,2,2,5,1,6,1,1,1,5
p_09,6,7,3,2,2,5,6,7,2,3,6,2,7,5,5,6,1,1,1,5,1,6,1,3,2,5
p_10,6,7,2,1,2,6,7,6,1,2,6,1,6,7,6,7,1,3,1,6,1,6,2,1,1,6
p_11,7,7,1,2,2,7,7,6,3,1,7,2,7,7,7,6,2,2,2,5,1,6,1,1,1,7
p_12,6,7,2,1,2,5,6,7,2,2,7,1,7,6,6,7,2,2,2,6,1,6,1,3,2,6
