user_id,timestamp,key,mapped_to,event_type,filename,key_type_pedal,key_type_sum,time
1,2024-09-30 08:58:51,Key.f22,Alt+Tab,down,001_20240930_085737_key_events.csv,shortcut,shortcut,08:58:51
1,2024-09-30 08:58:51,Key.f22,Alt+Tab,up,001_20240930_085737_key_events.csv,shortcut,shortcut,08:58:51
1,2024-09-30 08:58:51,Key.f22,Alt+Tab,down,001_20240930_085737_key_events.csv,shortcut,shortcut,08:58:51
1,2024-09-30 08:58:51,Key.f22,Alt+Tab,up,001_20240930_085737_key_events.csv,shortcut,shortcut,08:58:51
1,2024-09-30 08:58:52,Key.f22,Alt+Tab,down,001_20240930_085737_key_events.csv,shortcut,shortcut,08:58:52
1,2024-09-30 08:58:52,Key.f22,Alt+Tab,up,001_20240930_085737_key_events.csv,shortcut,shortcut,08:58:52
1,2024-09-30 08:59:40,Key.f23,print,down,001_20240930_085737_key_events.csv,keyboard_key,keyboard_key,08:59:40
1,2024-09-30 08:59:41,Key.f23,print,up,001_20240930_085737_key_events.csv,keyboard_key,keyboard_key,08:59:41
1,2024-09-30 08:59:45,Key.f23,print,down,001_20240930_085737_key_events.csv,keyboard_key,keyboard_key,08:59:45
1,2024-09-30 08:59:46,Key.f23,print,up,001_20240930_085737_key_events.csv,keyboard_key,keyboard_key,08:59:46
1,2024-09-30 09:00:24,Key.f23,win+Left,down,001_20240930_085737_key_events.csv,shortcut,shortcut,09:00:24
1,2024-09-30 09:00:24,Key.f23,win+Left,up,001_20240930_085737_key_events.csv,shortcut,shortcut,09:00:24
1,2024-09-30 09:00:30,Key.f23,win+Left,down,001_20240930_085737_key_events.csv,shortcut,shortcut,09:00:30
1,2024-09-30 09:00:30,Key.f23,win+Left,up,001_20240930_085737_key_events.csv,shortcut,shortcut,09:00:30
1,2024-10-03 09:05:26,Key.f22,Alt,down,001_20241003_085355_key_events.csv,modifier_key,modifier_key,09:05:26
1,2024-10-03 09:05:27,Key.f24,Tab,down,001_20241003_085355_key_events.csv,keyboard_key,keyboard_key,09:05:27
1,2024-10-03 09:05:27,Key.f24,Tab,up,001_20241003_085355_key_events.csv,keyboard_key,keyboard_key,09:05:27
1,2024-10-03 09:05:28,Key.f22,Alt,up,001_20241003_085355_key_events.csv,modifier_key,modifier_key,09:05:28
1,2024-09-30 09:08:11,Key.f22,Alt+Tab,down,001_20240930_085737_key_events.csv,shortcut,shortcut,09:08:11
1,2024-09-30 09:08:11,Key.f22,Alt+Tab,up,001_20240930_085737_key_events.csv,shortcut,shortcut,09:08:11
1,2024-09-30 09:10:11,Key.f22,Alt+Tab,down,001_20240930_085737_key_events.csv,shortcut,shortcut,09:10:11
1,2024-09-30 09:10:11,Key.f22,Alt+Tab,up,001_20240930_085737_key_events.csv,shortcut,shortcut,09:10:11
1,2024-09-30 09:10:44,Key.f22,Alt+Tab,down,001_20240930_085737_key_events.csv,shortcut,shortcut,09:10:44
1,2024-09-30 09:10:44,Key.f22,Alt+Tab,up,001_20240930_085737_key_events.csv,shortcut,shortcut,09:10:44
1,2024-10-03 09:14:35,Key.f22,Alt,down,001_20241003_085355_key_events.csv,modifier_key,modifier_key,09:14:35
1,2024-10-03 09:14:35,Key.f22,Alt,up,001_20241003_085355_key_events.csv,modifier_key,modifier_key,09:14:35
1,2024-10-03 09:14:36,Key.f24,Tab,down,001_20241003_085355_key_events.csv,keyboard_key,keyboard_key,09:14:36
1,2024-10-03 09:14:36,Key.f24,Tab,up,001_20241003_085355_key_events.csv,keyboard_key,keyboard_key,09:14:36
1,2024-10-03 09:14:41,Key.f22,Alt,down,001_20241003_085355_key_events.csv,modifier_key,modifier_key,09:14:41
1,2024-10-03 09:14:42,Key.f24,Tab,down,001_20241003_085355_key_events.csv,keyboard_key,keyboard_key,09:14:42
1,2024-10-03 09:14:42,Key.f24,Tab,up,001_20241003_085355_key_events.csv,keyboard_key,keyboard_key,09:14:42
1,2024-10-03 09:14:43,Key.f24,Tab,down,001_20241003_085355_key_events.csv,keyboard_key,keyboard_key,09:14:43
