user_id,key,mapped_to,first_down_time,up_time,down_count,filename
8,Key.f24,Down,2024-10-17 08:32:28,2024-10-17 08:32:29,3,008_20241017_081658_key_events.csv
8,Key.f24,Down,2024-10-17 08:33:32,2024-10-17 08:33:33,3,008_20241017_081658_key_events.csv
3,Key.f22,mouse_left+mouse_left,2024-09-30 10:20:50,2024-09-30 10:20:54,3,003_20240930_100543_key_events.csv
7,Key.f23,Ctrl+Tab,2024-10-14 16:10:00,2024-10-14 16:10:00,3,007_20241014_094101_key_events.csv
8,Key.f23,Right,2024-10-14 13:11:06,2024-10-14 13:11:06,3,008_20241014_083344_key_events.csv
8,Key.f23,Down,2024-10-15 08:06:50,2024-10-15 08:06:50,3,008_20241015_080112_key_events.csv
8,Key.f23,Down,2024-10-14 16:29:08,2024-10-14 16:29:48,3,008_20241014_083344_key_events.csv
8,Key.f24,Down,2024-10-17 08:39:59,2024-10-17 08:40:00,3,008_20241017_081658_key_events.csv
8,Key.f23,Down,2024-10-14 16:32:12,2024-10-14 16:32:32,3,008_20241014_083344_key_events.csv
8,Key.f23,Down,2024-10-14 16:32:04,2024-10-14 16:32:05,3,008_20241014_083344_key_events.csv
10,Key.f22,mouse_left,2024-10-22 23:01:10,2024-10-22 23:01:13,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-25 14:15:08,2024-10-25 14:15:09,2,010_20241025_141421_key_events.csv
10,Key.f22,mouse_left,2024-10-24 23:06:01,2024-10-25 14:14:33,2,010_20241025_141421_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:27:26,2024-10-22 19:27:29,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:25:47,2024-10-22 19:25:48,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-25 14:14:44,2024-10-25 14:14:45,2,010_20241025_141421_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:24:43,2024-10-22 19:24:44,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:25:41,2024-10-22 19:25:42,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:28:27,2024-10-22 19:28:28,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-25 14:25:35,2024-10-25 14:25:42,2,010_20241025_141421_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:24:38,2024-10-22 19:24:40,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-25 14:29:21,2024-10-25 14:35:12,2,010_20241025_141421_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:28:02,2024-10-22 19:28:07,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:28:52,2024-10-22 19:28:54,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:24:33,2024-10-22 19:24:36,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-24 23:05:57,2024-10-24 23:05:58,2,010_20241024_214401_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:29:03,2024-10-22 19:29:03,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-24 22:58:29,2024-10-24 23:05:40,2,010_20241024_214401_key_events.csv
10,Key.f22,mouse_left,2024-10-24 22:58:11,2024-10-24 22:58:14,2,010_20241024_214401_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:29:06,2024-10-22 19:29:09,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-24 22:26:32,2024-10-24 22:57:58,2,010_20241024_214401_key_events.csv
10,Key.f22,mouse_left,2024-10-24 22:15:51,2024-10-24 22:17:18,2,010_20241024_214401_key_events.csv
10,Key.f22,mouse_left,2024-10-24 22:14:10,2024-10-24 22:14:12,2,010_20241024_214401_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:29:18,2024-10-22 19:29:21,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:29:30,2024-10-22 19:29:33,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:35:11,2024-10-22 19:35:12,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:29:48,2024-10-22 19:29:51,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:30:01,2024-10-22 19:30:02,2,010_20241022_184543_key_events.csv
10,Key.f22,mouse_left,2024-10-25 14:40:01,2024-10-25 14:41:23,2,010_20241025_141421_key_events.csv
10,Key.f22,mouse_left,2024-10-25 14:44:02,2024-10-25 14:44:15,2,010_20241025_141421_key_events.csv
10,Key.f22,mouse_left,2024-10-22 19:24:22,2024-10-22 19:24:23,2,010_20241022_184543_key_events.csv
